C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/10/2017,00:00:00,REGULAR,0006215258,0002104297                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/10/2017,04:00:00,REGULAR,0006215284,0002104303                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/10/2017,08:00:00,REGULAR,0006215318,0002104337                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/10/2017,12:00:00,REGULAR,0006215475,0002104417                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/10/2017,16:00:00,REGULAR,0006215841,0002104465                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/10/2017,20:00:00,REGULAR,0006216274,0002104499                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/11/2017,00:00:00,REGULAR,0006216533,0002104521                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/11/2017,04:00:00,REGULAR,0006216576,0002104531                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/11/2017,08:00:00,REGULAR,0006216600,0002104549                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/11/2017,12:00:00,REGULAR,0006216706,0002104612                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/11/2017,16:00:00,REGULAR,0006216969,0002104663                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/11/2017,20:00:00,REGULAR,0006217204,0002104710                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/12/2017,00:00:00,REGULAR,0006217322,0002104727                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/12/2017,04:00:00,REGULAR,0006217332,0002104729                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/12/2017,08:00:00,REGULAR,0006217372,0002104813                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/12/2017,12:00:00,REGULAR,0006217540,0002105024                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/12/2017,16:00:00,REGULAR,0006217825,0002105081                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/12/2017,20:00:00,REGULAR,0006218576,0002105134                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/13/2017,00:00:00,REGULAR,0006218773,0002105153                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/13/2017,04:00:00,REGULAR,0006218790,0002105158                                            
